# ticker	name	theme	role	flags
AMEX:SPY	SPDR S&P 500 ETF Trust	00_A	BENCHMARK	required
NASDAQ:QQQ	Invesco QQQ Trust	00_A	BENCHMARK	required
AMEX:IWM	iShares Russell 2000 ETF	00_A	BREADTH_PROXY	required
AMEX:RSP	Invesco S&P 500 Equal Weight ETF	00_A	BREADTH_PROXY	
NASDAQ:AAPL	Apple	10_A	ANCHOR	
NASDAQ:MSFT	Microsoft	10_A	ANCHOR	
NASDAQ:GOOGL	Alphabet Class A	10_A	THEME_LEADER	
NASDAQ:AMZN	Amazon	10_A	THEME_LEADER	
NASDAQ:NVDA	NVIDIA	10_B	THEME_LEADER	
NASDAQ:AMD	Advanced Micro Devices	10_B	BETA_SATELLITE	
NASDAQ:AVGO	Broadcom	10_B	QUALITY_LEADER	
NASDAQ:QCOM	Qualcomm	10_B	QUALITY_LEADER	
NASDAQ:ASML	ASML Holding	10_C	THEME_LEADER	
NASDAQ:AMAT	Applied Materials	10_C	QUALITY_LEADER	
NYSE:CRM	Salesforce	10_D	THEME_LEADER	
NASDAQ:ADBE	Adobe	10_D	THEME_LEADER	
NASDAQ:INTU	Intuit	10_D	QUALITY_LEADER	
NYSE:NOW	ServiceNow	10_D	QUALITY_LEADER	
NASDAQ:PANW	Palo Alto Networks	10_E	THEME_LEADER	
NASDAQ:CRWD	CrowdStrike	10_E	THEME_LEADER	
NASDAQ:FTNT	Fortinet	10_E	QUALITY_LEADER	
NASDAQ:ZS	Zscaler	10_E	BREADTH_PROXY	
NASDAQ:META	Meta Platforms	10_F	THEME_LEADER	
NASDAQ:NFLX	Netflix	10_F	THEME_LEADER	
NYSE:SHOP	Shopify	10_F	LIQUIDITY_SENSOR	
NASDAQ:BKNG	Booking Holdings	10_F	QUALITY_LEADER	
NASDAQ:TSM	Taiwan Semiconductor ADR	11_A	THEME_LEADER	
NASDAQ:MU	Micron Technology	11_A	BETA_SATELLITE	
NASDAQ:MRVL	Marvell Technology	11_A	BETA_SATELLITE	
NASDAQ:ARM	Arm Holdings ADR	11_A	LIQUIDITY_SENSOR	
NYSE:VRT	Vertiv Holdings	11_B	THEME_LEADER	
NYSE:ETN	Eaton	11_B	QUALITY_LEADER	
NASDAQ:TSLA	Tesla	30_A	THEME_LEADER	
NYSE:HD	Home Depot	30_A	THEME_LEADER	
NYSE:NKE	Nike	30_A	BREADTH_PROXY	
NYSE:LOW	Lowe's	30_A	QUALITY_LEADER	
NYSE:WMT	Walmart	30_B	THEME_LEADER	
NYSE:PG	Procter & Gamble	30_B	THEME_LEADER	
NYSE:KO	Coca-Cola	30_B	QUALITY_LEADER	
NASDAQ:COST	Costco Wholesale	30_B	QUALITY_LEADER	
NYSE:MCD	McDonald's	30_C	THEME_LEADER	
NYSE:SBUX	Starbucks	30_C	QUALITY_LEADER	
NYSE:JPM	JPMorgan Chase	40_A	THEME_LEADER	
NYSE:BAC	Bank of America	40_A	THEME_LEADER	
NYSE:WFC	Wells Fargo	40_A	QUALITY_LEADER	
NYSE:GS	Goldman Sachs	40_A	BETA_SATELLITE	
NYSE:V	Visa	40_B	THEME_LEADER	
NYSE:MA	Mastercard	40_B	THEME_LEADER	
NASDAQ:PYPL	PayPal	40_B	BREADTH_PROXY	
NYSE:AXP	American Express	40_B	QUALITY_LEADER	
NYSE:BLK	BlackRock	40_C	THEME_LEADER	
NYSE:SPGI	S&P Global	40_C	QUALITY_LEADER	
NYSE:BRK.B	Berkshire Hathaway Class B	40_D	ANCHOR	
NYSE:PGR	Progressive	40_D	THEME_LEADER	
